Record Length,2500,Points,x1,y1,,Record Length,2500,Points,x2,y2
Sample Interval,39.99999899E-6,s,-49.75999892E-3,16.0000000,,Sample Interval,39.99999899E-6,s,-49.75999892E-3,36.40000153
Trigger Point,1.2440001E3,Samples,-49.72000048E-3,16.0000000,,Trigger Point,1.2440001E3,Samples,-49.72000048E-3,36.40000153
,,,-49.67999831E-3,16.8000011,,,,,-49.67999831E-3,36.40000153
,,,-49.63999987E-3,16.0000000,,,,,-49.63999987E-3,36.40000153
,,,-49.59999770E-3,16.8000011,,,,,-49.59999770E-3,36.40000153
Source,CH1,,-49.55999926E-3,16.8000011,,Source,CH2,,-49.55999926E-3,36.00000000
Vertical Units,Volts,,-49.51999709E-3,17.6000004,,Vertical Units,Volts,,-49.51999709E-3,36.40000153
Vertical Scale,20.0000003,,-49.47999865E-3,16.8000011,,Vertical Scale,10.0000001,,-49.47999865E-3,36.00000000
Vertical Offset,0,,-49.44000021E-3,16.8000011,,Vertical Offset,0,,-49.44000021E-3,36.40000153
Horizontal Units,s,,-49.39999804E-3,17.6000004,,Horizontal Units,s,,-49.39999804E-3,36.40000153
Horizontal Scale,9.999999747E-3,,-49.35999960E-3,17.6000004,,Horizontal Scale,9.999999747E-3,,-49.35999960E-3,36.00000000
Pt Fmt,Y,,-49.31999743E-3,17.6000004,,Pt Fmt,Y,,-49.31999743E-3,36.00000000
Yzero,-2.0400000,,-49.27999899E-3,17.6000004,,Yzero,-2.84000000,,-49.27999899E-3,36.00000000
Probe Atten,10.0000000,,-49.24000055E-3,17.6000004,,Probe Atten,10.0000000,,-49.24000055E-3,36.00000000
,,,-49.19999838E-3,17.6000004,,,,,-49.19999838E-3,36.00000000
Note,TBS 1202B - 11:36:08   22/03/2023,,-49.15999994E-3,18.3999996,,Note,TBS 1202B - 11:36:08   22/03/2023,,-49.15999994E-3,36.00000000
,,,-49.11999777E-3,18.3999996,,,,,-49.11999777E-3,36.00000000
,,,-49.07999933E-3,18.3999996,,,,,-49.07999933E-3,36.00000000
,,,-49.03999716E-3,19.2000008,,,,,-49.03999716E-3,36.00000000
,,,-48.99999872E-3,19.2000008,,,,,-48.99999872E-3,36.00000000
,,,-48.96000028E-3,19.2000008,,,,,-48.96000028E-3,36.00000000
,,,-48.91999811E-3,19.2000008,,,,,-48.91999811E-3,35.60000229
,,,-48.87999967E-3,20.0000000,,,,,-48.87999967E-3,36.00000000
,,,-48.83999750E-3,19.2000008,,,,,-48.83999750E-3,36.00000000
,,,-48.79999906E-3,19.2000008,,,,,-48.79999906E-3,36.00000000
,,,-48.76000062E-3,19.2000008,,,,,-48.76000062E-3,36.00000000
,,,-48.71999845E-3,18.3999996,,,,,-48.71999845E-3,35.60000229
,,,-48.68000001E-3,19.2000008,,,,,-48.68000001E-3,35.60000229
,,,-48.63999784E-3,19.2000008,,,,,-48.63999784E-3,35.60000229
,,,-48.59999940E-3,19.2000008,,,,,-48.59999940E-3,35.60000229
,,,-48.55999723E-3,20.0000000,,,,,-48.55999723E-3,35.60000229
,,,-48.51999879E-3,20.0000000,,,,,-48.51999879E-3,36.00000000
,,,-48.48000035E-3,19.2000008,,,,,-48.48000035E-3,35.60000229
,,,-48.43999818E-3,20.0000000,,,,,-48.43999818E-3,35.60000229
,,,-48.39999974E-3,20.0000000,,,,,-48.39999974E-3,35.60000229
,,,-48.35999757E-3,20.0000000,,,,,-48.35999757E-3,35.60000229
,,,-48.31999913E-3,20.0000000,,,,,-48.31999913E-3,35.60000229
,,,-48.28000069E-3,20.80000114,,,,,-48.28000069E-3,35.60000229
,,,-48.23999852E-3,20.80000114,,,,,-48.23999852E-3,35.60000229
,,,-48.20000008E-3,21.60000038,,,,,-48.20000008E-3,35.60000229
,,,-48.15999791E-3,21.60000038,,,,,-48.15999791E-3,35.20000076
,,,-48.11999947E-3,21.60000038,,,,,-48.11999947E-3,35.60000229
,,,-48.07999730E-3,21.60000038,,,,,-48.07999730E-3,35.20000076
,,,-48.03999886E-3,22.39999962,,,,,-48.03999886E-3,35.20000076
,,,-48.00000042E-3,21.60000038,,,,,-48.00000042E-3,35.20000076
,,,-47.95999825E-3,21.60000038,,,,,-47.95999825E-3,35.20000076
,,,-47.91999981E-3,23.20000076,,,,,-47.91999981E-3,35.20000076
,,,-47.87999764E-3,23.20000076,,,,,-47.87999764E-3,35.20000076
,,,-47.83999920E-3,23.20000076,,,,,-47.83999920E-3,35.20000076
,,,-47.80000076E-3,23.20000076,,,,,-47.80000076E-3,35.20000076
,,,-47.75999859E-3,24.00000000,,,,,-47.75999859E-3,35.20000076
,,,-47.72000015E-3,23.20000076,,,,,-47.72000015E-3,35.20000076
,,,-47.67999798E-3,24.80000114,,,,,-47.67999798E-3,35.20000076
,,,-47.63999954E-3,23.20000076,,,,,-47.63999954E-3,35.20000076
,,,-47.59999737E-3,23.20000076,,,,,-47.59999737E-3,35.20000076
,,,-47.55999893E-3,24.00000000,,,,,-47.55999893E-3,35.20000076
,,,-47.52000049E-3,24.00000000,,,,,-47.52000049E-3,34.79999924
,,,-47.47999832E-3,24.80000114,,,,,-47.47999832E-3,35.20000076
,,,-47.43999988E-3,24.00000000,,,,,-47.43999988E-3,35.20000076
,,,-47.39999771E-3,24.80000114,,,,,-47.39999771E-3,34.79999924
,,,-47.35999927E-3,24.80000114,,,,,-47.35999927E-3,35.20000076
,,,-47.32000083E-3,24.80000114,,,,,-47.32000083E-3,34.79999924
,,,-47.27999866E-3,24.00000000,,,,,-47.27999866E-3,34.79999924
,,,-47.24000022E-3,24.00000000,,,,,-47.24000022E-3,34.79999924
,,,-47.19999805E-3,24.80000114,,,,,-47.19999805E-3,34.79999924
,,,-47.15999961E-3,24.80000114,,,,,-47.15999961E-3,34.79999924
,,,-47.11999744E-3,24.00000000,,,,,-47.11999744E-3,34.40000153
,,,-47.07999900E-3,24.80000114,,,,,-47.07999900E-3,34.79999924
,,,-47.04000056E-3,24.00000000,,,,,-47.04000056E-3,34.79999924
,,,-46.99999839E-3,24.00000000,,,,,-46.99999839E-3,34.40000153
,,,-46.95999995E-3,24.00000000,,,,,-46.95999995E-3,34.79999924
,,,-46.91999778E-3,24.80000114,,,,,-46.91999778E-3,34.79999924
,,,-46.87999934E-3,24.00000000,,,,,-46.87999934E-3,34.40000153
,,,-46.83999717E-3,24.80000114,,,,,-46.83999717E-3,34.79999924
,,,-46.79999873E-3,24.80000114,,,,,-46.79999873E-3,34.40000153
,,,-46.76000029E-3,24.80000114,,,,,-46.76000029E-3,34.40000153
,,,-46.71999812E-3,24.80000114,,,,,-46.71999812E-3,34.79999924
,,,-46.67999968E-3,24.80000114,,,,,-46.67999968E-3,34.40000153
,,,-46.63999751E-3,25.60000038,,,,,-46.63999751E-3,34.40000153
,,,-46.59999907E-3,25.60000038,,,,,-46.59999907E-3,34.40000153
,,,-46.56000063E-3,25.60000038,,,,,-46.56000063E-3,34.40000153
,,,-46.51999846E-3,25.60000038,,,,,-46.51999846E-3,34.40000153
,,,-46.48000002E-3,25.60000038,,,,,-46.48000002E-3,34.40000153
,,,-46.43999785E-3,26.39999962,,,,,-46.43999785E-3,34.40000153
,,,-46.39999941E-3,26.39999962,,,,,-46.39999941E-3,34.40000153
,,,-46.35999724E-3,26.39999962,,,,,-46.35999724E-3,34.40000153
,,,-46.31999880E-3,27.20000076,,,,,-46.31999880E-3,34.40000153
,,,-46.28000036E-3,27.20000076,,,,,-46.28000036E-3,34.40000153
,,,-46.23999819E-3,28.00000000,,,,,-46.23999819E-3,34.00000000
,,,-46.19999975E-3,28.80000114,,,,,-46.19999975E-3,34.00000000
,,,-46.15999758E-3,28.00000000,,,,,-46.15999758E-3,34.00000000
,,,-46.11999914E-3,28.80000114,,,,,-46.11999914E-3,34.00000000
,,,-46.08000070E-3,28.80000114,,,,,-46.08000070E-3,34.00000000
,,,-46.03999853E-3,28.80000114,,,,,-46.03999853E-3,34.00000000
,,,-46.00000009E-3,29.60000038,,,,,-46.00000009E-3,34.00000000
,,,-45.95999792E-3,29.60000038,,,,,-45.95999792E-3,34.00000000
,,,-45.91999948E-3,30.39999962,,,,,-45.91999948E-3,34.00000000
,,,-45.87999731E-3,30.39999962,,,,,-45.87999731E-3,34.00000000
,,,-45.83999887E-3,31.20000076,,,,,-45.83999887E-3,34.00000000
,,,-45.80000043E-3,32.00000000,,,,,-45.80000043E-3,34.00000000
,,,-45.75999826E-3,32.00000000,,,,,-45.75999826E-3,34.00000000
,,,-45.71999982E-3,32.00000000,,,,,-45.71999982E-3,34.00000000
,,,-45.67999765E-3,33.60000229,,,,,-45.67999765E-3,33.60000229
,,,-45.63999921E-3,33.60000229,,,,,-45.63999921E-3,34.00000000
,,,-45.60000077E-3,33.60000229,,,,,-45.60000077E-3,34.00000000
,,,-45.55999860E-3,35.20000076,,,,,-45.55999860E-3,34.00000000
,,,-45.52000016E-3,36.00000000,,,,,-45.52000016E-3,33.60000229
,,,-45.47999799E-3,36.00000000,,,,,-45.47999799E-3,33.60000229
,,,-45.43999955E-3,37.60000229,,,,,-45.43999955E-3,33.60000229
,,,-45.39999738E-3,39.20000076,,,,,-45.39999738E-3,33.60000229
,,,-45.35999894E-3,38.40000153,,,,,-45.35999894E-3,34.00000000
,,,-45.32000050E-3,39.20000076,,,,,-45.32000050E-3,33.60000229
,,,-45.27999833E-3,40.00000000,,,,,-45.27999833E-3,34.00000000
,,,-45.23999989E-3,40.79999924,,,,,-45.23999989E-3,33.60000229
,,,-45.19999772E-3,41.60000229,,,,,-45.19999772E-3,33.60000229
,,,-45.15999928E-3,43.20000076,,,,,-45.15999928E-3,33.60000229
,,,-45.12000084E-3,43.20000076,,,,,-45.12000084E-3,33.20000076
,,,-45.07999867E-3,43.20000076,,,,,-45.07999867E-3,33.60000229
,,,-45.04000023E-3,46.40000153,,,,,-45.04000023E-3,33.20000076
,,,-44.99999806E-3,46.40000153,,,,,-44.99999806E-3,33.60000229
,,,-44.95999962E-3,47.20000076,,,,,-44.95999962E-3,33.20000076
,,,-44.91999745E-3,48.79999924,,,,,-44.91999745E-3,33.20000076
,,,-44.87999901E-3,48.79999924,,,,,-44.87999901E-3,33.20000076
,,,-44.84000057E-3,50.40000153,,,,,-44.84000057E-3,33.60000229
,,,-44.79999840E-3,51.20000076,,,,,-44.79999840E-3,33.20000076
,,,-44.75999996E-3,52.00000000,,,,,-44.75999996E-3,33.20000076
,,,-44.71999779E-3,53.60000229,,,,,-44.71999779E-3,33.20000076
,,,-44.67999935E-3,55.200000763,,,,,-44.67999935E-3,33.20000076
,,,-44.63999718E-3,56.000000000,,,,,-44.63999718E-3,33.20000076
,,,-44.59999874E-3,56.799999237,,,,,-44.59999874E-3,33.20000076
,,,-44.56000030E-3,59.200000763,,,,,-44.56000030E-3,33.20000076
,,,-44.51999813E-3,62.400001526,,,,,-44.51999813E-3,33.20000076
,,,-44.47999969E-3,61.600002289,,,,,-44.47999969E-3,33.20000076
,,,-44.43999752E-3,64.000000000,,,,,-44.43999752E-3,33.20000076
,,,-44.39999908E-3,64.800003052,,,,,-44.39999908E-3,33.20000076
,,,-44.36000064E-3,66.400001526,,,,,-44.36000064E-3,33.20000076
,,,-44.31999847E-3,69.599998474,,,,,-44.31999847E-3,33.20000076
,,,-44.28000003E-3,70.400001526,,,,,-44.28000003E-3,33.20000076
,,,-44.23999786E-3,71.200004578,,,,,-44.23999786E-3,33.20000076
